variant,k,method,n,gap_median,gap_q1,gap_q3,gap_max,runtime_median_s
sinusoidal,9,basin_hopping,30,-1.9786376981301146e-08,-4.203200631991422e-08,-7.654950451296827e-09,-3.475548737696954e-10,3.59538959999918
sinusoidal,12,basin_hopping,30,-3.563325634559078e-08,-7.886772834808653e-08,-1.6884786901982807e-08,-4.163425160186307e-09,6.182038749975618
sinusoidal,15,basin_hopping,30,-6.056575330148917e-08,-1.1368379659870698e-07,-1.7866902624064096e-08,-7.607638963236241e-10,11.563339699991047
sinusoidal,2,genetic_algorithm,30,0.0,0.0,2.7195667939849955e-10,9.36427113629179e-09,2.37178904999746
sinusoidal,3,genetic_algorithm,30,1.4193801689543761e-10,0.0,2.9570408344170573e-09,1.5927917615954357e-06,2.43776595001691
sinusoidal,4,genetic_algorithm,30,4.5151683281119404e-07,2.851763269973162e-11,0.001041103972113433,0.21780118457120068,3.8414796500001103
sinusoidal,6,genetic_algorithm,30,0.06420066887375242,0.0016399756388914,0.14143312477715853,0.6655513647337301,4.6596360499970615
sinusoidal,9,genetic_algorithm,30,0.21745992088401778,0.1622743199378327,0.4293535697280717,0.7273126297901626,7.480727800022578
sinusoidal,12,genetic_algorithm,30,0.4315582123091133,0.26220220971492836,0.7103449751555324,2.0862563994327417,10.33790779998526
sinusoidal,15,genetic_algorithm,30,0.8204783560845996,0.6835968980010385,1.1011822767564894,1.8289266847164356,14.436158650030848
sinusoidal,2,grid,30,0.0,0.0,5.368523225968147e-07,1.2358675434143152e-05,0.6415878499974497
sinusoidal,3,grid,30,1.4669064185568459e-06,0.0,1.4982191288481772e-05,0.00019168690565152247,21.242973949963925
sinusoidal,4,grid,30,6.054059610960394e-06,0.0,0.00015210501908669016,0.0011369680486552625,42.42012255001464
sinusoidal,6,grid,30,0.0007267721387336223,4.5905826283387796e-05,0.00291036228895436,0.008763431832022661,120.92936350000673
sinusoidal,9,grid,30,0.0069991434242453465,0.0030420693329311632,0.01277051044921862,0.043869331771091424,109.54438884998672
sinusoidal,12,grid,9,0.015086168985192216,0.007505302826430693,0.0550122602201526,0.13397846067853436,566.9908043000032
sinusoidal,2,slsqp,30,-5.274216619000072e-10,-7.998650630725024e-10,-3.369784451479063e-10,8.640199666842818e-12,0.6503910500032362
sinusoidal,3,slsqp,30,-1.2469527632674726e-09,-2.4348842941890325e-09,-5.842615280471364e-10,-2.1245227799226996e-11,1.4263075000199024
sinusoidal,4,slsqp,30,-4.626258487405721e-09,-8.7563556405712e-09,-2.2287345302629546e-09,-5.049116680311272e-11,2.9504426500061527
sinusoidal,6,slsqp,30,-1.1898805496457499e-08,-3.256956659924981e-08,-6.172754751787579e-09,-2.0193624550302047e-11,5.118022049980937
sinusoidal,9,slsqp,30,-3.768889200728154e-08,-5.705852501591835e-08,-1.3911652274600783e-08,-1.7895729342853883e-10,13.965631099999882
sinusoidal,12,slsqp,30,-4.5118326852389146e-08,-1.4281312488151343e-07,-2.137648635880396e-08,-2.1051960175100248e-10,28.30978275000234
sinusoidal,15,slsqp,30,-1.0760384583363702e-07,-2.464588817474578e-07,-2.3989329633877787e-08,9.545857437842642e-10,43.05415735000861
