method,k,config_label,median_evals,median_gap,median_seconds,recovered,n
grid_capped,6,grid_capped@max_combinations=6000,3003.0,0.0,0.4120779999939259,1.0,60
grid_capped,6,grid_capped@max_combinations=60000,8008.0,0.0,1.1454203000175767,1.0,60
grid_capped,6,grid_capped@max_combinations=600000,230230.0,0.0,49.18944079999346,1.0,60
mdbh,2,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=1,sigma=1.5,temperature=1.0",1434.5,2.355946548959764e-09,0.21722605000832118,1.0,60
mdbh,2,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=5,sigma=1.5,temperature=1.0",6541.0,1.5781154161231825e-10,1.0075550000183284,1.0,60
mdbh,2,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=25,sigma=1.5,temperature=1.0",33953.0,5.5699445056234254e-11,5.432073650008533,1.0,60
mdbh,3,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=1,sigma=1.5,temperature=1.0",2211.0,7.265111520382561e-06,0.2472783000121126,1.0,60
mdbh,3,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=5,sigma=1.5,temperature=1.0",10971.0,4.721962199027985e-08,1.3306983500078786,1.0,60
mdbh,3,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=25,sigma=1.5,temperature=1.0",54389.0,4.950990728502802e-09,5.810863000020618,1.0,60
mdbh,4,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=1,sigma=1.5,temperature=1.0",2761.0,0.0009215654944014773,0.23847949999617413,0.8666666666666667,60
mdbh,4,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=5,sigma=1.5,temperature=1.0",13805.0,2.247235080687915e-06,1.155339350021677,1.0,60
mdbh,4,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=25,sigma=1.5,temperature=1.0",69025.0,1.6757608278794578e-07,5.828900600026827,1.0,60
mdbh,6,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=1,sigma=1.5,temperature=1.0",3861.0,0.0007959743652108386,0.5758179499825928,0.9,60
mdbh,6,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=5,sigma=1.5,temperature=1.0",19305.0,3.508031532817313e-06,2.891929250006797,1.0,60
mdbh,6,"mdbh@eta=1.0,n_hops=10,n_local_steps=50,n_starts=25,sigma=1.5,temperature=1.0",96525.0,1.6375139537672112e-06,21.252817150001647,1.0,60
slsqp,2,slsqp@n_starts=1,6.0,0.0,0.005754950019763783,1.0,60
slsqp,2,slsqp@n_starts=5,30.0,-1.7082868453144329e-10,0.016546850005397573,1.0,60
slsqp,2,slsqp@n_starts=25,150.0,-4.88014961774752e-10,0.07282580001628958,1.0,60
slsqp,2,slsqp@n_starts=100,600.0,-6.897025173202564e-10,0.319661499990616,1.0,60
slsqp,3,slsqp@n_starts=1,8.0,3.240074875066057e-12,0.005774549979832955,1.0,60
slsqp,3,slsqp@n_starts=5,40.0,-6.171134714350046e-10,0.017058650002582,1.0,60
slsqp,3,slsqp@n_starts=25,200.0,-1.723208242765395e-09,0.07696669998404104,1.0,60
slsqp,3,slsqp@n_starts=100,800.0,-2.93111668270285e-09,0.35010839998722076,1.0,60
slsqp,4,slsqp@n_starts=1,10.0,1.9255708139098715e-11,0.005141750007169321,1.0,60
slsqp,4,slsqp@n_starts=5,50.0,-1.434781893294712e-08,0.017979850017582066,1.0,60
slsqp,4,slsqp@n_starts=25,250.0,-4.125683261690938e-08,0.0845169500389602,1.0,60
slsqp,4,slsqp@n_starts=100,1000.0,-5.29096197965373e-08,0.3175638499960769,1.0,60
slsqp,6,slsqp@n_starts=1,14.0,2.007496391343011e-10,0.010042849986348301,1.0,60
slsqp,6,slsqp@n_starts=5,70.0,-2.428672019050282e-08,0.03792244999203831,1.0,60
slsqp,6,slsqp@n_starts=25,351.0,-9.627490982211384e-08,0.1834736499877181,1.0,60
slsqp,6,slsqp@n_starts=100,1405.5,-1.2331927479181104e-07,0.7561721000238322,1.0,60
