case_name,regime,variant,k,case_seed,scenario,method,method_seed,f_found,f_oracle,gap,recovered,oracle_verified,allocation,spend_fraction,n_function_evals,wall_time_s,censored,timestamp,censor_reason
Study_linear_k02_s1,convex,linear,2,1,Scenario 01,grid,1,97.84778667214474,97.84778667214474,0.0,True,True,"[100.0, 0.0]",1.0,,0.6990665000048466,False,2026-07-22T13:55:19+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 01,slsqp,1,97.84778669385824,97.84778667214474,-2.1713503883802332e-08,True,True,"[99.99999994015491, 5.984508995886684e-08]",1.0,600.0,0.9133316999941599,False,2026-07-22T13:55:19+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 02,grid,1,98.92389333607237,98.92389333607237,0.0,True,True,"[100.0, 0.0]",1.0,,0.7018102000001818,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 01,genetic_algorithm,0,98.92106043380616,98.92106043380616,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.3728911000071093,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 02,basin_hopping,1,98.92389335179796,98.92389333607237,-1.5725589719295385e-08,True,True,"[99.99999995665831, 4.334168577710957e-08]",1.0,141.0,0.13031940002110787,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 02,slsqp,1,98.92389335778589,98.92389333607237,-2.1713518094657047e-08,True,True,"[99.99999994015491, 5.984508995886684e-08]",1.0,600.0,0.460533299978124,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 02,genetic_algorithm,0,99.4605302169031,99.4605302169031,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.306947200006107,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 03,basin_hopping,1,99.99999999999999,99.99999999999999,0.0,True,True,"[99.99999999524096, 4.7590514859985335e-09]",1.0,141.0,0.11597919999621809,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s0,convex,linear,2,0,Scenario 03,genetic_algorithm,0,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.3195252000004984,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 03,slsqp,1,99.99999999999999,99.99999999999999,0.0,True,True,"[99.99999999524096, 4.7590514859985335e-09]",1.0,600.0,0.46393149998039007,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 03,grid,1,99.99999999999999,99.99999999999999,0.0,True,True,"[100.0, 0.0]",1.0,,0.5413953000097536,False,2026-07-22T13:55:20+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 01,basin_hopping,2,89.07942937891508,89.07942934540395,-3.351112809468759e-08,True,True,"[99.99999995876696, 4.12330391882224e-08]",1.0,135.0,0.1532195000036154,False,2026-07-22T13:55:21+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 01,grid,2,89.07942934540395,89.07942934540395,0.0,True,True,"[100.0, 0.0]",1.0,,0.7572989999898709,False,2026-07-22T13:55:21+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 01,slsqp,2,89.07942940906715,89.07942934540395,-6.366319382777874e-08,True,True,"[99.999999921667, 7.83330066863944e-08]",1.0,600.0,0.7057227999903262,False,2026-07-22T13:55:21+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 01,genetic_algorithm,1,97.84778667214474,97.84778667214474,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.5666389999969397,False,2026-07-22T13:55:21+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 02,basin_hopping,2,89.53116522008102,89.53116517002078,-5.0060236844728934e-08,True,True,"[99.99999993840447, 6.159552863963148e-08]",1.0,135.0,0.11113489998388104,False,2026-07-22T13:55:21+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 02,slsqp,2,89.53116522130316,89.53116517002078,-5.1282370350236306e-08,True,True,"[99.99999993690072, 6.309928131569016e-08]",1.0,600.0,0.472021900000982,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 02,grid,2,89.53116517002078,89.53116517002078,0.0,True,True,"[100.0, 0.0]",1.0,,0.5369098999944981,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 02,genetic_algorithm,1,98.92389333607237,98.92389333607237,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.058770799980266,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 03,basin_hopping,2,89.98290102521813,89.98290099463762,-3.0580508791899774e-08,True,True,"[99.99999995412922, 4.587077382494942e-08]",1.0,135.0,0.1083570999908261,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 03,grid,2,89.98290099463762,89.98290099463762,0.0,True,True,"[100.0, 0.0]",1.0,,0.5089950999827124,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 03,slsqp,2,89.98290103790417,89.98290099463762,-4.326655300701532e-08,True,True,"[99.99999993510016, 6.489984101472254e-08]",1.0,600.0,0.4709803000150714,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s1,convex,linear,2,1,Scenario 03,genetic_algorithm,1,99.99999999999999,99.99999999999999,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.1488623000041116,False,2026-07-22T13:55:22+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 01,basin_hopping,3,97.22574054803304,97.22574052078905,-2.7243999056736357e-08,True,True,"[99.99999995529522, 4.4704773196623207e-08]",1.0,132.0,0.10093879999476485,False,2026-07-22T13:55:23+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 01,slsqp,3,97.22574057831741,97.22574052078905,-5.7528367847226036e-08,True,True,"[99.9999999056015, 9.439850003871282e-08]",1.0,600.0,0.4675829999905545,False,2026-07-22T13:55:23+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 01,genetic_algorithm,2,89.07942934540395,89.07942934540395,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,1.8806281000142917,False,2026-07-22T13:55:23+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 01,grid,3,97.22574052078905,97.22574052078905,0.0,True,True,"[100.0, 0.0]",1.0,,0.5336306000244804,False,2026-07-22T13:55:23+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 02,basin_hopping,3,98.61287029467091,98.61287026039452,-3.4276396831955935e-08,True,True,"[99.99999994375575, 5.624424256501392e-08]",1.0,132.0,0.11196119998930953,False,2026-07-22T13:55:23+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 02,genetic_algorithm,2,89.53116517002078,89.53116517002078,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.0517474000225775,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 02,slsqp,3,98.61287029759028,98.61287026039452,-3.7195761137809313e-08,True,True,"[99.99999993896533, 6.103466617273912e-08]",1.0,600.0,0.6743797000090126,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 02,grid,3,98.61287026039452,98.61287026039452,0.0,True,True,"[100.0, 0.0]",1.0,,0.7781910999910906,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 03,basin_hopping,3,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,132.0,0.10996649999287911,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 03,slsqp,3,100.0,100.0,0.0,True,True,"[99.99999999710865, 2.891349659611354e-09]",1.0,600.0,0.48057660000631586,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 03,grid,3,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,,0.5588304999982938,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s2,convex,linear,2,2,Scenario 03,genetic_algorithm,2,89.98290099463762,89.98290099463762,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.2393813999951817,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 01,basin_hopping,4,98.61451695353598,98.6145169403479,-1.31880852904942e-08,True,True,"[99.99999994858798, 5.1412010733322924e-08]",1.0,141.0,0.11494870000751689,False,2026-07-22T13:55:24+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 01,slsqp,4,98.61451695757236,98.6145169403479,-1.72244654095266e-08,True,True,"[99.99999993285269, 6.71473098894245e-08]",1.0,600.0,0.5094557999982499,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 01,grid,4,98.6145169403479,98.6145169403479,0.0,True,True,"[100.0, 0.0]",1.0,,0.5509544000087772,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 01,genetic_algorithm,3,97.22574052078905,97.22574052078905,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.3146333000040613,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 02,basin_hopping,4,99.30725848108881,99.30725847017395,-1.0914860126831627e-08,True,True,"[99.99999995744986, 4.2550141170152696e-08]",1.0,141.0,0.11344740001368336,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 02,grid,4,99.30725847017395,99.30725847017395,0.0,True,True,"[100.0, 0.0]",1.0,,0.5137887000164483,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 02,genetic_algorithm,3,98.61287026039452,98.61287026039452,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.3363949000195134,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 02,slsqp,4,99.30725848248116,99.30725847017395,-1.2307211250117689e-08,True,True,"[99.99999995202195, 4.7978054839322034e-08]",1.0,600.0,0.4840261999925133,False,2026-07-22T13:55:25+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 03,basin_hopping,4,100.0,100.0,0.0,True,True,"[99.99999997042956, 2.9570440531894178e-08]",1.0,141.0,0.11285320000024512,False,2026-07-22T13:55:26+00:00,
Study_linear_k02_s3,convex,linear,2,3,Scenario 03,genetic_algorithm,3,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,1.9432017999934033,False,2026-07-22T13:55:26+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 03,slsqp,4,100.0,100.0,0.0,True,True,"[99.99999997042956, 2.9570440531894178e-08]",1.0,600.0,0.4712089999811724,False,2026-07-22T13:55:26+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 03,grid,4,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,,0.5368695000070147,False,2026-07-22T13:55:26+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 01,basin_hopping,5,97.31088939162599,97.31088934899637,-4.2629622498679964e-08,True,True,"[5.2057885752787894e-08, 99.99999994794211]",1.0,138.0,0.3500275000114925,False,2026-07-22T13:55:26+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 01,slsqp,5,97.31088939175834,97.31088934899637,-4.276196818864264e-08,True,True,"[5.221950646942916e-08, 99.9999999477805]",1.0,600.0,0.8789754000026733,False,2026-07-22T13:55:27+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 01,grid,5,97.31088934899637,97.31088934899637,0.0,True,True,"[0.0, 100.0]",1.0,,0.9020767000038177,False,2026-07-22T13:55:27+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 01,genetic_algorithm,4,98.6145169403479,98.6145169403479,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.3074855000013486,False,2026-07-22T13:55:27+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 02,basin_hopping,5,98.23853906997499,98.23853902734537,-4.2629622498679964e-08,True,True,"[5.2057885752787894e-08, 99.99999994794211]",1.0,138.0,0.1219281000085175,False,2026-07-22T13:55:27+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 02,slsqp,5,98.23853909077481,98.23853902734537,-6.342943947856838e-08,True,True,"[7.745795110420861e-08, 99.99999992254205]",1.0,600.0,0.5607234000053722,False,2026-07-22T13:55:27+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 02,grid,5,98.23853902734537,98.23853902734537,0.0,True,True,"[0.0, 100.0]",1.0,,0.5877252999925986,False,2026-07-22T13:55:27+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 02,genetic_algorithm,4,99.30725847017395,99.30725847017395,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.3718341999920085,False,2026-07-22T13:55:28+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 03,basin_hopping,5,99.16618872334658,99.16618870569437,-1.7652212136454182e-08,True,True,"[4.413055890990328e-08, 99.99999995586944]",1.0,138.0,0.1134609000000637,False,2026-07-22T13:55:28+00:00,
Study_linear_k02_s4,convex,linear,2,4,Scenario 03,genetic_algorithm,4,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.57055340000079,False,2026-07-22T13:55:28+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 03,slsqp,5,99.16618873667754,99.16618870569437,-3.098317336025502e-08,True,True,"[7.745795110420861e-08, 99.99999992254205]",1.0,600.0,0.6635816000052728,False,2026-07-22T13:55:28+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 03,grid,5,99.16618870569437,99.16618870569437,0.0,True,True,"[0.0, 100.0]",1.0,,0.7228353999962565,False,2026-07-22T13:55:28+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 01,basin_hopping,6,98.22050852000972,98.22050851258169,-7.4280279704908025e-09,True,True,"[99.99999997613688, 2.3863128134483505e-08]",1.0,141.0,0.10664959999849088,False,2026-07-22T13:55:28+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 01,slsqp,6,98.22050852545152,98.22050851258169,-1.2869833199147251e-08,True,True,"[99.99999995865461, 4.134539375822169e-08]",1.0,600.0,0.46825279999757186,False,2026-07-22T13:55:29+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 01,genetic_algorithm,5,97.31088934899637,97.31088934899637,0.0,True,True,"[0.0, 100.0]",1.0,3050.0,2.3094952999963425,False,2026-07-22T13:55:29+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 01,grid,6,98.22050851258169,98.22050851258169,0.0,True,True,"[100.0, 0.0]",1.0,,0.5158873999898788,False,2026-07-22T13:55:29+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 02,basin_hopping,6,99.1102542622565,99.11025425629083,-5.9656741768776556e-09,True,True,"[99.99999998083483, 1.9165163896652374e-08]",1.0,141.0,0.11323620000621304,False,2026-07-22T13:55:29+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 02,genetic_algorithm,5,98.23853902734537,98.23853902734537,0.0,True,True,"[0.0, 100.0]",1.0,3050.0,2.118559599999571,False,2026-07-22T13:55:29+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 02,slsqp,6,99.11025426821388,99.11025425629083,-1.1923049214601633e-08,True,True,"[99.99999996169628, 3.8303726842309047e-08]",1.0,600.0,0.5057243000192102,False,2026-07-22T13:55:29+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 02,grid,6,99.11025425629083,99.11025425629083,0.0,True,True,"[100.0, 0.0]",1.0,,0.7464659999823198,False,2026-07-22T13:55:30+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 03,basin_hopping,6,100.0,100.0,0.0,True,True,"[99.99999999290121, 7.098790998967377e-09]",1.0,141.0,0.10770150000462309,False,2026-07-22T13:55:30+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 03,grid,6,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,,0.788657900004182,False,2026-07-22T13:55:30+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 03,slsqp,6,100.0,100.0,0.0,True,True,"[99.99999999290121, 7.098790998967377e-09]",1.0,600.0,0.7554095000086818,False,2026-07-22T13:55:30+00:00,
Study_linear_k02_s5,convex,linear,2,5,Scenario 03,genetic_algorithm,5,99.16618870569437,99.16618870569437,0.0,True,True,"[0.0, 100.0]",1.0,3050.0,2.534081999998307,False,2026-07-22T13:55:30+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 01,basin_hopping,7,88.36959333952598,88.36959331461752,-2.4908459295147622e-08,True,True,"[99.99999996475428, 3.524571744330042e-08]",1.0,144.0,0.11462490001576953,False,2026-07-22T13:55:30+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 01,slsqp,7,88.36959335158329,88.36959331461752,-3.6965772665098484e-08,True,True,"[99.99999994769303, 5.230696983921771e-08]",1.0,600.0,0.46931210000184365,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 01,genetic_algorithm,6,98.22050851258169,98.22050851258169,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.37038800001028,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 01,grid,7,88.36959331461752,88.36959331461752,0.0,True,True,"[100.0, 0.0]",1.0,,0.524983900017105,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 02,basin_hopping,7,89.11705616556338,89.11705613419831,-3.136507586987136e-08,True,True,"[99.99999995561808, 4.438192034134983e-08]",1.0,144.0,0.1167913000099361,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 02,genetic_algorithm,6,99.11025425629083,99.11025425629083,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.352518300001975,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 02,slsqp,7,89.11705617116408,89.11705613419831,-3.6965772665098484e-08,True,True,"[99.99999994769303, 5.230696983921771e-08]",1.0,600.0,0.4820049999980256,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 02,grid,7,89.11705613419831,89.11705613419831,0.0,True,True,"[100.0, 0.0]",1.0,,0.5294235000037588,False,2026-07-22T13:55:31+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 03,basin_hopping,7,89.86451897597006,89.8645189537791,-2.219096018052369e-08,True,True,"[99.99999995561808, 4.438192034134983e-08]",1.0,144.0,0.11088329998892732,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s6,convex,linear,2,6,Scenario 03,genetic_algorithm,6,100.0,100.0,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.1469746000075247,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 03,slsqp,7,89.8645189827414,89.8645189537791,-2.8962304554625007e-08,True,True,"[99.9999999420754, 5.792459841755639e-08]",1.0,600.0,0.4813782999990508,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 03,grid,7,89.8645189537791,89.8645189537791,0.0,True,True,"[100.0, 0.0]",1.0,,0.5236190999858081,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 01,basin_hopping,8,92.58205608427238,92.58205602939532,-5.4877062893865514e-08,True,True,"[99.99999993403179, 6.596820862992117e-08]",1.0,144.0,0.11495879999711178,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 01,slsqp,8,92.58205610544135,92.58205602939532,-7.604603524669074e-08,True,True,"[99.99999990858436, 9.141564163953449e-08]",1.0,600.0,0.462230000004638,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 01,genetic_algorithm,7,88.36959331461752,88.36959331461752,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,1.91450809998787,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 01,grid,8,92.58205602939532,92.58205602939532,0.0,True,True,"[100.0, 0.0]",1.0,,0.5477078999974765,False,2026-07-22T13:55:32+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 02,basin_hopping,8,93.8228046334267,93.82280457776113,-5.566556637859321e-08,True,True,"[99.99999993308393, 6.691607263816559e-08]",1.0,144.0,0.32566550001502037,False,2026-07-22T13:55:33+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 02,genetic_algorithm,7,89.11705613419831,89.11705613419831,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.207259699993301,False,2026-07-22T13:55:33+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 02,grid,8,93.82280457776113,93.82280457776113,0.0,True,True,"[100.0, 0.0]",1.0,,0.8823418999963906,False,2026-07-22T13:55:33+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 02,slsqp,8,93.82280465762254,93.82280457776113,-7.986140815319231e-08,True,True,"[99.99999990399789, 9.600210617242812e-08]",1.0,600.0,0.8088273000030313,False,2026-07-22T13:55:33+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 03,basin_hopping,8,95.0635531484323,95.06355312612695,-2.2305357560981065e-08,True,True,"[99.99999993308393, 6.691607263816559e-08]",1.0,144.0,0.1258809000137262,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s7,convex,linear,2,7,Scenario 03,genetic_algorithm,7,89.8645189537791,89.8645189537791,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.2840459999861196,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 03,grid,8,95.06355312612695,95.06355312612695,0.0,True,True,"[100.0, 0.0]",1.0,,0.5946981000015512,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 03,slsqp,8,95.06355315512366,95.06355312612695,-2.899670903389051e-08,True,True,"[99.99999991300987, 8.699012613782029e-08]",1.0,600.0,0.5374712999910116,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 01,basin_hopping,9,88.72121975361168,88.7212197381213,-1.5490371652049362e-08,True,True,"[99.99999996771372, 3.228628474639767e-08]",1.0,141.0,0.10873159999027848,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 01,genetic_algorithm,8,92.58205602939532,92.58205602939532,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,2.2817171000060625,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 01,slsqp,9,88.72121976732578,88.7212197381213,-2.9204471729826764e-08,True,True,"[99.99999993912971, 6.087028655191351e-08]",1.0,600.0,0.4841117000032682,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 01,grid,9,88.7212197381213,88.7212197381213,0.0,True,True,"[100.0, 0.0]",1.0,,0.5266797000076622,False,2026-07-22T13:55:34+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 02,basin_hopping,9,89.7320990695827,89.73209905527996,-1.43027421017905e-08,True,True,"[99.9999999701891, 2.981090928777007e-08]",1.0,141.0,0.1221040999807883,False,2026-07-22T13:55:35+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 02,slsqp,9,89.73209908314402,89.73209905527996,-2.7864061280524766e-08,True,True,"[99.99999994192353, 5.807646582491869e-08]",1.0,600.0,0.4817421999759972,False,2026-07-22T13:55:35+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 02,grid,9,89.73209905527996,89.73209905527996,0.0,True,True,"[100.0, 0.0]",1.0,,0.5462660000193864,False,2026-07-22T13:55:35+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 02,genetic_algorithm,8,93.82280457776113,93.82280457776113,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,1.961794100003317,False,2026-07-22T13:55:35+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 03,basin_hopping,9,90.74297840051355,90.74297837243861,-2.8074936153643648e-08,True,True,"[99.99999994148405, 5.851595524148745e-08]",1.0,141.0,0.11426030000438914,False,2026-07-22T13:55:35+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 03,slsqp,9,90.74297840030269,90.74297837243861,-2.786407549137948e-08,True,True,"[99.99999994192353, 5.807646582491869e-08]",1.0,600.0,0.4901708000106737,False,2026-07-22T13:55:36+00:00,
Study_linear_k02_s8,convex,linear,2,8,Scenario 03,genetic_algorithm,8,95.06355312612695,95.06355312612695,0.0,True,True,"[100.0, 0.0]",1.0,3050.0,1.9939898999873549,False,2026-07-22T13:55:36+00:00,
Study_linear_k02_s9,convex,linear,2,9,Scenario 03,grid,9,90.74297837243861,90.74297837243861,0.0,True,True,"[100.0, 0.0]",1.0,,0.5623901000071783,False,2026-07-22T13:55:36+00:00,
